"id")","result","Score1","Score2","Frequency1","Frequency2","Amount","Net","LTV","Source","Gender","AgeRange","CustomerType"
"9079","1",6.7779,0,NA,NA,NA,161,3.1,2,"F","35_to_49",2
"9080","1",2.8867,2,8,NA,NA,300,11.12,5,"F","35_to_49",3
"9081","0",17.423,6.2,66,2,1255,47,20.95,5,"F","35_to_49",5
"9082","1",24.4752,4.3,244,NA,NA,2203,35.43,5,"F","35_to_49",4
"9083","0",21.2372,7.8,415,8,9176,353,153.26,5,"M","35_to_49",5
"9084","1",4.4933,0,NA,NA,NA,0,3.58,2,"F","35_to_49",2
"9085","1",36.4866,0,NA,NA,NA,50,0.85,2,"F","35_to_49",2
"9086","0",29.3896,1.6,9,NA,NA,781,16.16,5,"F","35_to_49",2
"9087","1",55.052,2.9,34,NA,NA,960,46.69,5,"M","35_to_49",3
"9088","1",13.0229,0,NA,NA,NA,53,0.91,2,"F","35_to_49",2
"9089","0",36.723,7.5,148,4,2862,1226,54.96,5,"F","35_to_49",5
"9090","0",23.0498,0,NA,NA,NA,0,0,2,"F","18_to_34",1
"9091","1",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9092","1",74.1521,0,NA,NA,NA,12,0.19,2,"F","35_to_49",2
"9093","1",41.7988,0,NA,NA,NA,5453,123.35,2,"M","60_or_higher",2
"9094","1",73.6546,2.9,30,NA,NA,642,13.38,5,"F","35_to_49",3
"9095","1",14.6519,4.3,60,NA,NA,183,19.01,5,"M","18_to_34",4
"9096","0",46.5903,0,NA,NA,NA,82,40.62,2,"M","35_to_49",2
"9097","1",93.9659,4.6,158,2,10000,33425,538.35,1,"M","35_to_49",4
"9098","0",18.8608,2,9,1,3007,3560,77.1,1,"F","18_to_34",3
"9099","0",39.2613,0,NA,NA,NA,6,0.18,2,"M","35_to_49",2
"9100","0",23.0498,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9101","1",45.3044,0,NA,NA,NA,4,0.07,2,"M","35_to_49",2
"9102","1",40.0312,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9103","0",96.4988,8.1,715,12,20671,24505,796.05,5,"M","35_to_49",5
"9104","1",20.4667,3.1,59,NA,NA,1998,33.66,5,"F","35_to_49",4
"9105","0",36.7786,8.3,258,9,21324,5130,230.12,5,"M","35_to_49",5
"9106","0",38.8823,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9107","1",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9108","0",55.8671,0.3,1,NA,NA,52,0.78,5,"F","35_to_49",2
"9109","1",1.0932,0,NA,NA,NA,3,2.17,2,"F","35_to_49",2
"9110","0",64.3227,2.4,9,NA,NA,430,7.33,5,"F","35_to_49",3
"9111","1",21.2257,5.9,46,3,1294,322,25.53,5,"F","35_to_49",4
"9112","0",64.2733,4.6,97,3,502,1650,32.84,5,"M","18_to_34",4
"9113","1",36.2813,5.5,144,1,400,2417,37.55,5,"F","35_to_49",4
"9114","1",69.7564,0,NA,NA,NA,0,3.47,2,"F","35_to_49",2
"9115","1",2.6535,0,NA,NA,NA,100,5.73,2,"M","35_to_49",2
"9116","0",5.0578,0,NA,NA,NA,80,1.35,2,"F","18_to_34",2
"9117","1",2.0241,0,NA,NA,NA,0,0.65,2,"F","35_to_49",2
"9118","0",19.9297,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9119","1",18.8966,0,NA,NA,NA,95,1.55,2,"I","",2
"9120","0",19.9297,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9121","1",43.4024,0,NA,NA,NA,60,1.2,2,"M","",2
"9122","0",69.394,0,NA,NA,NA,114,39.81,2,"F","35_to_49",2
"9123","1",3.7571,2.1,6,NA,NA,300,5.13,5,"F","35_to_49",3
"9124","1",3.7571,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"9125","0",30.3946,7.7,135,9,24532,555,181.55,5,"M","35_to_49",5
"9126","1",24.0816,6.2,257,4,2510,708,52.19,5,"M","35_to_49",5
"9127","1",1.0932,0,NA,NA,NA,87,1.25,2,"F","50_to_59",2
"9128","0",33.4511,0,NA,NA,NA,731,29.55,2,"M","35_to_49",2
"9129","0",23.0498,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9130","1",30.6057,0,NA,NA,NA,10,0,2,"I","35_to_49",2
"9131","0",38.9793,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9132","0",97.0493,9.5,487,12,127677,3418,1006.82,5,"M","35_to_49",6
"9133","1",36.3901,0.5,2,NA,NA,100,1.71,5,"M","35_to_49",2
"9134","1",40.702,0,NA,NA,NA,626,15.41,2,"F","35_to_49",2
"9135","1",19.0682,0,NA,NA,NA,570,9.75,2,"F","35_to_49",2
"9136","1",23.8989,0,NA,NA,NA,63,0.94,2,"I","",2
"9137","1",15.12,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9138","0",78.1704,8.7,545,27,34797,6806,550.22,5,"M","18_to_34",5
"9139","0",30.8767,0,NA,NA,NA,45,13.83,2,"F","18_to_34",2
"9140","0",55.6008,7.4,217,4,23633,707,264.14,5,"F","35_to_49",5
"9141","0",46.8038,0,NA,NA,NA,250,19.14,2,"F","60_or_higher",2
"9142","1",17.9801,2.7,37,NA,NA,1087,29.64,5,"M","50_to_59",3
"9143","1",38.8823,0,NA,NA,NA,0,0,2,"M","",1
"9144","0",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9145","1",51.5114,0,NA,NA,NA,7391,50.86,2,"F","35_to_49",2
"9146","0",38.1656,0,NA,NA,NA,434,14.13,2,"F","50_to_59",2
"9147","1",1.0932,0,NA,NA,NA,340,5.88,2,"M","35_to_49",2
"9148","0",19.9297,1.4,5,NA,NA,42,1.71,5,"M","35_to_49",3
"9149","0",43.9412,7.3,114,8,5919,950,116.2,5,"F","35_to_49",5
"9150","1",4.8537,2.8,89,NA,NA,395,6.5,5,"M","35_to_49",2
"9151","0",74.1521,0,NA,NA,NA,10,0,2,"F","35_to_49",2
"9152","1",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9153","0",43.7515,0,NA,NA,NA,360,5.42,2,"F","35_to_49",2
"9154","0",86.1544,0,NA,NA,NA,1033,19.66,2,"F","60_or_higher",2
"9155","1",60.5443,0,NA,NA,NA,1427,22.54,2,"M","60_or_higher",2
"9156","0",0.2653,0,NA,NA,NA,0,0,2,"I","35_to_49",1
"9157","1",66.9952,8,168,9,17110,910,129.04,5,"F","35_to_49",5
"9158","0",82.9693,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9159","1",80.4327,2.2,20,NA,NA,2123,12.85,5,"M","35_to_49",3
"9160","1",0.2653,1.4,4,NA,NA,200,3.42,5,"M","35_to_49",3
"9161","1",2.8867,0,NA,NA,NA,100,1.58,2,"M","35_to_49",2
"9162","1",48.2892,0,NA,NA,NA,1571,45.46,2,"M","35_to_49",2
"9163","1",3.7571,0,NA,NA,NA,6,0.16,2,"F","35_to_49",2
"9164","1",36.3901,0,NA,NA,NA,150,2.56,2,"M","35_to_49",2
"9165","0",39.1642,0,NA,NA,NA,25,0.46,2,"M","50_to_59",2
"9166","1",2.3567,7.8,642,5,2726,515,44.51,5,"F","60_or_higher",5
"9167","1",20.9402,0,NA,NA,NA,0,19.23,2,"M","35_to_49",2
"9168","0",15.7124,0,NA,NA,NA,294,5.88,2,"M","18_to_34",2
"9169","0",36.3901,0.7,2,NA,NA,50,1.71,5,"I","",2
"9170","1",12.75,3.1,28,NA,NA,818,13.01,5,"M","18_to_34",4
"9171","1",1.0932,0,NA,NA,NA,238,6.12,2,"F","35_to_49",2
